,AGS_0,Fläche_Name_1,y_forderungen
240,09186,Landkreis Pfaffenhofen a.d. Ilm,7.493628169424629
241,09187,Landkreis Rosenheim,8.969517215965528
242,09188,Landkreis Starnberg,10.91908244812723
243,09189,Landkreis Traunstein,8.934531195187935
244,09190,Landkreis Weilheim-Schongau,12.363304233707941
245,09261,Kreisfreie Stadt Landshut,1.5130007390914486
246,09262,Kreisfreie Stadt Passau,1.0868354346845228
247,09263,Kreisfreie Stadt Straubing,7.242449455247445
248,09271,Landkreis Deggendorf,7.11640830408
249,09272,Landkreis Freyung-Grafenau,8.050195771802262
250,09273,Landkreis Kelheim,11.33934138643874
251,09274,Landkreis Landshut,7.659772749215279
252,09275,Landkreis Passau,15.090400889993708
253,09276,Landkreis Regen,10.670618392700232
254,09277,Landkreis Rottal-Inn,15.300269854451265
255,09278,Landkreis Straubing-Bogen,12.195192598534076
256,09279,Landkreis Dingolfing-Landau,7.522540434142137
257,09361,Kreisfreie Stadt Amberg,1.0151637231677078
258,09362,Kreisfreie Stadt Regensburg,0.9565915504700502
259,09363,Kreisfreie Stadt Weiden i.d. OPf.,0.772721763526785
260,09371,Landkreis Amberg-Sulzbach,7.786832020449584
261,09372,Landkreis Cham,11.93524498258687
262,09373,Landkreis Neumarkt i.d. OPf.,7.297302249595541
263,09374,Landkreis Neustadt a.d. Waldnaab,8.051973767958629
264,09375,Landkreis Regensburg,7.692797824164163
265,09376,Landkreis Schwandorf,8.159073915509623
266,09377,Landkreis Tirschenreuth,8.31755092930582
267,09461,Kreisfreie Stadt Bamberg,1.4211640757669162
268,09462,Kreisfreie Stadt Bayreuth,1.9877911937171309
269,09463,Kreisfreie Stadt Coburg,7.5850075102954415
270,09464,Kreisfreie Stadt Hof,0.7532272224656239
271,09471,Landkreis Bamberg,7.481392991363611
272,09472,Landkreis Bayreuth,7.741866515845329
273,09473,Landkreis Coburg,7.911339359545589
274,09474,Landkreis Forchheim,8.104139624752992
275,09475,Landkreis Hof,10.74398427540083
276,09476,Landkreis Kronach,11.626467728332011
277,09477,Landkreis Kulmbach,7.0924747019069025
278,09478,Landkreis Lichtenfels,11.512404305824894
279,09479,Landkreis Wunsiedel i. Fichtelgebirge,12.633982255438175
280,09561,Kreisfreie Stadt Ansbach,5.455237840537069
281,09562,Kreisfreie Stadt Erlangen,6.686950111973746
282,09563,Kreisfreie Stadt Fürth,10.359080040716274
283,09564,Kreisfreie Stadt Nürnberg,1.4880612573224854
284,09565,Kreisfreie Stadt Schwabach,5.560538224929133
285,09571,Landkreis Ansbach,10.595184564595261
286,09572,Landkreis Erlangen-Höchstadt,7.352830200236956
287,09573,Landkreis Fürth,6.754649656394309
288,09574,Landkreis Nürnberger Land,11.636286598341282
289,09575,Landkreis Neustadt a.d. Aisch-Bad Windsheim,10.854534738585858
290,09576,Landkreis Roth,11.475186960129951
291,09577,Landkreis Weißenburg-Gunzenhausen,11.211472311424805
292,09661,Kreisfreie Stadt Aschaffenburg,1.2003638749574161
293,09662,Kreisfreie Stadt Schweinfurt,7.5990161307055315
294,09663,Kreisfreie Stadt Würzburg,0.6315821580878029
295,09671,Landkreis Aschaffenburg,11.761084633368034
