,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AGS,Name,Verwaltungsebene,Land,2G,4G,5G DSS,5G,2G,4G,5G DSS,5G,2G,4G,5G DSS,5G
05762,Kreis Höxter,3 - Kreis,Land Nordrhein-Westfalen,100,"91,87","22,72","23,68",100,100,"96,04","96,74",100,"97,99","72,57","34,13"
05766,Kreis Lippe,3 - Kreis,Land Nordrhein-Westfalen,100,100,"28,07","94,32",100,100,100,100,100,100,100,"31,76"
05770,Kreis Minden-Lübbecke,3 - Kreis,Land Nordrhein-Westfalen,100,100,0,"99,57",100,100,100,100,100,100,"94,6","72,38"
05774,Kreis Paderborn,3 - Kreis,Land Nordrhein-Westfalen,100,"99,63","40,32","56,98",100,100,"99,7","99,96",100,"99,61","88,52","15,68"
05911,Kreisfreie Stadt Bochum,3 - Kreis,Land Nordrhein-Westfalen,100,100,"1,55","99,21",100,100,100,100,100,100,"99,54","56,61"
05913,Kreisfreie Stadt Dortmund,3 - Kreis,Land Nordrhein-Westfalen,100,100,"29,14","96,76",100,100,100,100,100,100,"97,64","55,52"
05914,Kreisfreie Stadt Hagen,3 - Kreis,Land Nordrhein-Westfalen,100,100,"40,78","95,97",100,100,"98,1",100,100,100,"93,88","12,53"
05915,Kreisfreie Stadt Hamm,3 - Kreis,Land Nordrhein-Westfalen,100,100,"52,93","63,28",100,100,100,100,100,100,"85,9","26,31"
05916,Kreisfreie Stadt Herne,3 - Kreis,Land Nordrhein-Westfalen,100,100,"50,72","99,75",100,100,100,100,100,100,100,"86,06"
05954,Kreis Ennepe-Ruhr-Kreis,3 - Kreis,Land Nordrhein-Westfalen,100,100,"62,05","99,8",100,100,"95,02","95,02",100,100,"87,17","14,32"
05958,Kreis Hochsauerlandkreis,3 - Kreis,Land Nordrhein-Westfalen,100,"99,6","32,4","38,4","99,89","99,48","95,26","97,76",100,"97,12","79,75","22,88"
05962,Kreis Märkischer Kreis,3 - Kreis,Land Nordrhein-Westfalen,100,100,"80,63","93,64",100,100,"99,43",100,100,100,"82,71","28,57"
05966,Kreis Olpe,3 - Kreis,Land Nordrhein-Westfalen,100,100,"61,77","72,37",100,100,"97,52","97,73",100,"99,79","76,74","2,65"
05970,Kreis Siegen-Wittgenstein,3 - Kreis,Land Nordrhein-Westfalen,100,100,"47,43","62,69",100,100,"96,63","98,74",100,"99,69","72,65",0
05974,Kreis Soest,3 - Kreis,Land Nordrhein-Westfalen,100,"99,79","83,88","85,28",100,100,"98,83",100,100,"99,72","97,78","40,21"
05978,Kreis Unna,3 - Kreis,Land Nordrhein-Westfalen,100,100,"82,33","95,2",100,100,"99,86","99,97",100,100,"99,24","55,28"
06411,Kreisfreie Stadt Darmstadt,3 - Kreis,Land Hessen,100,100,"0,03","81,8",100,100,98,98,100,100,100,"67,51"
06412,Kreisfreie Stadt Frankfurt am Main,3 - Kreis,Land Hessen,100,100,"0,96","98,8",100,100,"99,89",100,100,100,100,"99,59"
06413,Kreisfreie Stadt Offenbach am Main,3 - Kreis,Land Hessen,100,100,"73,29","86,7",100,100,100,100,100,100,100,"89,37"
06414,Kreisfreie Stadt Wiesbaden,3 - Kreis,Land Hessen,100,100,0,"97,33",100,100,100,100,100,100,"99,48","68,06"
06431,Landkreis Bergstraße,3 - Kreis,Land Hessen,100,100,"1,78","68,22",100,100,"97,72","98,18",100,100,"96,16","37,88"
06432,Landkreis Darmstadt-Dieburg,3 - Kreis,Land Hessen,100,100,"36,42","74,64",100,100,"90,34","93,87",100,100,"99,04","71,22"
06433,Landkreis Groß-Gerau,3 - Kreis,Land Hessen,100,100,"2,2","89,58",100,"99,96","97,54","98,8",100,100,"98,18","50,55"
06434,Landkreis Hochtaunuskreis,3 - Kreis,Land Hessen,100,100,0,"76,36",100,100,100,100,100,100,"96,89","43,78"
06435,Landkreis Main-Kinzig-Kreis,3 - Kreis,Land Hessen,100,100,0,"85,27",100,100,"99,59","99,67",100,100,"90,33","49,66"
06436,Landkreis Main-Taunus-Kreis,3 - Kreis,Land Hessen,100,100,0,"84,04",100,100,100,100,100,100,"99,16","59,59"
06437,Landkreis Odenwaldkreis,3 - Kreis,Land Hessen,,,,,,,,,,,,
06438,Landkreis Offenbach,3 - Kreis,Land Hessen,100,100,"5,43","53,25",100,"99,85","99,23","99,47",100,100,"94,7","18,83"
06439,Landkreis Rheingau-Taunus-Kreis,3 - Kreis,Land Hessen,100,100,0,"51,53",100,100,100,100,100,100,"80,66","54,59"
06440,Landkreis Wetteraukreis,3 - Kreis,Land Hessen,100,"99,1","11,38","72,9",100,100,"99,56","99,61",100,100,"95,08","14,54"
06531,Landkreis Gießen,3 - Kreis,Land Hessen,100,100,"10,38","42,6",100,100,"99,79","99,89",100,"99,91","86,22","7,01"
06532,Landkreis Lahn-Dill-Kreis,3 - Kreis,Land Hessen,100,100,"0,84","6,58",100,"99,87","97,19","98,6",100,"99,88","81,1","16,14"
06533,Landkreis Limburg-Weilburg,3 - Kreis,Land Hessen,100,100,0,"81,08",100,100,"99,18",100,100,100,"96,4","11,5"
06534,Landkreis Marburg-Biedenkopf,3 - Kreis,Land Hessen,,,,,,,,,,,,
06535,Landkreis Vogelsbergkreis,3 - Kreis,Land Hessen,100,100,"16,78","72,56",100,100,"98,88","99,36",100,100,"80,4","46,95"
06611,Kreisfreie Stadt Kassel,3 - Kreis,Land Hessen,100,100,0,"87,99",100,100,100,100,100,100,100,"30,59"
06631,Landkreis Fulda,3 - Kreis,Land Hessen,100,100,"19,92","80,31",100,100,"98,35","99,3",100,100,"84,92","41,1"
06632,Landkreis Hersfeld-Rotenburg,3 - Kreis,Land Hessen,100,"98,73","1,39","83,52",100,100,"97,12","97,35",100,"98,84",85,"41,71"
06633,Landkreis Kassel,3 - Kreis,Land Hessen,100,"99,56","1,5","50,74",100,100,99,"99,95",100,100,"92,09","50,68"
06634,Landkreis Schwalm-Eder-Kreis,3 - Kreis,Land Hessen,100,100,0,"65,34",100,100,"95,17","99,15",100,100,"89,34","49,71"
06635,Landkreis Waldeck-Frankenberg,3 - Kreis,Land Hessen,100,"95,95","37,55","37,55",100,100,"99,58",100,100,100,"96,19","38,28"
06636,Landkreis Werra-Meißner-Kreis,3 - Kreis,Land Hessen,100,100,0,"39,27",100,100,"76,88","98,84",100,"96,17","68,4","20,62"
07111,Kreisfreie Stadt Koblenz,3 - Kreis,Land Rheinland-Pfalz,100,"99,39",0,"76,39",100,100,100,100,100,100,"99,5","73,39"
07131,Landkreis Ahrweiler,3 - Kreis,Land Rheinland-Pfalz,100,100,"1,08","77,72",100,100,"99,81","99,81",100,100,"69,44","36,78"
07132,Landkreis Altenkirchen (Westerwald),3 - Kreis,Land Rheinland-Pfalz,100,100,0,100,100,100,100,100,100,100,100,"11,33"
07133,Landkreis Bad Kreuznach,3 - Kreis,Land Rheinland-Pfalz,100,"99,6","45,05","60,15",100,100,"94,22","97,81",100,"98,88","54,86","18,51"
07134,Landkreis Birkenfeld,3 - Kreis,Land Rheinland-Pfalz,100,100,0,"98,43",100,100,"97,36",100,100,100,100,"33,49"
07135,Landkreis Cochem-Zell,3 - Kreis,Land Rheinland-Pfalz,100,100,0,"98,36",100,100,"98,65","98,65",100,100,"97,98","12,81"
07137,Landkreis Mayen-Koblenz,3 - Kreis,Land Rheinland-Pfalz,100,100,"6,02","39,61",100,"99,77","97,22","99,73",100,"99,85","89,66","46,87"
07138,Landkreis Neuwied,3 - Kreis,Land Rheinland-Pfalz,100,100,0,"71,73",100,100,"99,22",100,100,100,"99,7","33,65"
07140,Landkreis Rhein-Hunsrück-Kreis,3 - Kreis,Land Rheinland-Pfalz,100,"99,8","5,87","35,64",100,100,"98,77","99,84",100,100,"95,16","32,05"
07141,Landkreis Rhein-Lahn-Kreis,3 - Kreis,Land Rheinland-Pfalz,100,100,0,100,100,100,100,100,100,100,"75,25","16,63"
07143,Landkreis Westerwaldkreis,3 - Kreis,Land Rheinland-Pfalz,100,100,0,"52,45",100,100,"99,64",100,100,100,"87,34","31,95"
07211,Kreisfreie Stadt Trier,3 - Kreis,Land Rheinland-Pfalz,100,"99,51",0,"98,11","99,82","94,83","73,98","85,46","99,01","91,59","87,8","32,53"
07231,Landkreis Bernkastel-Wittlich,3 - Kreis,Land Rheinland-Pfalz,100,"99,64",0,"59,58",100,"99,62","90,36","96,56",100,"99,34","95,92","26,01"
07232,Landkreis Eifelkreis Bitburg-Prüm,3 - Kreis,Land Rheinland-Pfalz,"99,9","94,23","5,88","69,05",100,"98,75","74,84","91,51",100,"99,47",72,"38,12"
07233,Landkreis Vulkaneifel,3 - Kreis,Land Rheinland-Pfalz,100,"98,4",0,"64,66",100,100,"81,53","99,16",100,"95,13","88,47","8,86"
07235,Landkreis Trier-Saarburg,3 - Kreis,Land Rheinland-Pfalz,"99,95","99,87",0,"84,72",100,100,"87,99","95,6",100,"99,99","85,37","41,74"
07311,Kreisfreie Stadt Frankenthal (Pfalz),3 - Kreis,Land Rheinland-Pfalz,100,100,"0,34",100,100,100,100,100,100,100,100,0
07312,Kreisfreie Stadt Kaiserslautern,3 - Kreis,Land Rheinland-Pfalz,100,"99,98",0,"92,82",100,"99,64",98,"98,01",100,100,"98,54","46,64"
07313,Kreisfreie Stadt Landau in der Pfalz,3 - Kreis,Land Rheinland-Pfalz,100,100,"12,61","98,28",100,100,100,100,100,100,"97,62","13,7"
07314,Kreisfreie Stadt Ludwigshafen am Rhein,3 - Kreis,Land Rheinland-Pfalz,100,100,0,"99,23",100,100,100,100,100,100,100,"41,34"
07315,Kreisfreie Stadt Mainz,3 - Kreis,Land Rheinland-Pfalz,100,100,0,"98,47",100,100,100,100,100,100,"98,18","36,25"
